time_unix;time_server;event;symbol;signal;trend;buy_checks;sell_checks;bid;ask;spread_points;balance;equity;risk_cash;position_side;position_volume;floating_pl;message
1783436399;2026.07.07 14:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4154.137;4154.377;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 53.8 | ADX 30.6 | ATR 16.79
1783439999;2026.07.07 15:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;1;1;4138.923;4139.163;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 1/5 | RSI 46.3 | ADX 27.4 | ATR 16.62
1783443599;2026.07.07 16:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;1;1;4145.005;4145.245;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 1/5 | RSI 49.3 | ADX 24.6 | ATR 16.36
1783447199;2026.07.07 17:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;1;1;4144.483;4144.723;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 1/5 | RSI 49.0 | ADX 22.7 | ATR 15.81
1783450798;2026.07.07 18:59:58;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;2;4126.977;4127.217;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 41.4 | ADX 21.9 | ATR 16.16
1783454398;2026.07.07 19:59:58;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;5;4113.971;4114.211;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 5/5 | RSI 36.8 | ADX 24.1 | ATR 17.66
1783454398;2026.07.07 19:59:58;ALERT_TREND;XAUUSDm;WAIT;SELL;0;5;4113.971;4114.211;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm H1/H4 trend changed to SELL | BUY 0/5 | SELL 5/5 | RSI 36.8 | ADX 24.1 | ATR 17.66
1783454398;2026.07.07 19:59:58;ALERT_TRADE;XAUUSDm;SELL;SELL;0;5;4113.971;4114.211;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm SELL confirmed | BUY 0/5 | SELL 5/5 | RSI 36.8 | ADX 24.1 | ATR 17.66
1783454398;2026.07.07 19:59:58;SHADOW_ENTRY;XAUUSDm;SELL;SELL;0;5;4113.971;4114.211;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm virtual SELL 0.07 lots | entry 4113.971 | SL 4140.467 | TP 4060.978 | risk 185.47
1783454398;2026.07.07 19:59:58;ALERT_PAPER;XAUUSDm;SELL;SELL;0;5;4113.971;4114.211;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm virtual SELL 0.07 lots | entry 4113.971 | SL 4140.467 | TP 4060.978 | risk 185.47
